s1	The Grand Seduction	2014	Don McKellar	Movie	A small fishing village must procure a local doctor to secure a lucrative business contract. When unlikely candidate and big city doctor Paul Lewis lands in their lap for a trial residence, the townsfolk rally together to charm him into staying. As the doctor's time in the village winds to a close, acting mayor Murray French has no choice but to pull out all the stops.
s2	Take Care Good Night	2018	Girish Joshi	Movie	A Metro Family decides to fight a Cyber Criminal threatening their stability and pride.
s3	Secrets of Deception	2017	Josh Webber	Movie	After a man discovers his wife is cheating on him with a neighborhood kid he goes down a furious path of self-destruction
s4	Pink: Staying True	2014	Sonia Anderson	Movie	Pink breaks the mold once again, bringing her career to a new level in 2013 with a world tour that entertains unlike ever before! Get inside access to "the girl who got the party started" with exclusive interviews and rare live performances.
s5	Monster Maker	1989	Giles Foster	Movie	Teenage Matt Banting wants to work with a famous but eccentric creature/special effects man named Chancey Bellows. He gets more than he bargained for when one of the creatures, the giant dragon-like Ultragorgon, takes Matt under his wing. Matt is forced to confront his inner monsters while working out his issues with his father.
s6	Living With Dinosaurs	1989	Paul Weiland	Movie	The story unfolds in a an English seaside town, where Dom, an only child, faces the imminent arrival of a new sibling, and subsequently diminished attention from his mother. A stuffed toy dinosaur named Dog is Dom's only confidant – Dom relies on his friend heavily for support as he confronts his problems, accepts the changes in his life, and understands the love he has for his parents.
s7	Hired Gun	2017	Fran Strine	Movie	They are the "First Call, A-list" musicians, just 20 feet from stardom, yet rarely receive credit for their work. The 'hired gun' community lives and breathes music, and for the first time, share their incredible stories detailing the highs and lows of touring life, the demands of session schedules, and the dedication required to play next to some of the world's most iconic musicians.
s8	Grease Live!	2016	Thomas Kail	Movie	This honest, uncompromising comedy chronicles the war stories and sexual misadventures of a tight circle of lovers and friends fighting to get their acts together, for better or worse.
s9	Global Meltdown	2017	Daniel Gilboy	Movie	A helicopter pilot and an environmental scientist lead a exodus of survivors in a search for a safe haven after a catastrophic tectonic event causes the crust of the earth to break apart.
s10	David's Mother	1994	Robert Allan Ackerman	Movie	Sally Goodson is a devoted mother to her autistic son David. Abandoned by her husband, Sally has managed to keep her son out of "the System", until a social worker comes along.
s11	Forest Fairies	2016	Justin G. Dyck	Movie	Amanda stumbles upon a hidden village of fairies in the forest. They help her thwart a scheming land developer's plan to trick her mother into selling the family inn.
s12	Take Care	2014	Liz Tuccillo	Movie	When a car crash leaves Frannie immobilized, she is brushed off by everyone she can count on. With nowhere else to turn, Frannie reluctantly calls her ex, Devon, for help. It isn't long before old wounds emerge and are made worse when Devon's crazy new girlfriend shows up.
s13	The Night Eats The World	2018	Dominique Rocher	Movie	After waking up in an apartment the night after a raging party, Sam comes face to face with his new reality, an army of zombies have invaded the streets of Paris and he is the lone survivor. Petrified with fear, he barricades himself inside the building to survive. He wonders how long can he last in silence and solitude, and the answer comes when he learns that he's not all alone after all.
s14	Resilencia	2020	Jep Barcelona	Movie	The documentary follows the midfielder’s everyday life for six months. It’s a sincere portrayal by Rafinha himself, who opened his home for the cameras to film every moment, even allowing them into the operating room.
s15	Elon Musk: The Real Life Iron Man	2018	Sonia Anderson	Movie	Discover the meteoric rise of Elon Musk, the man who is transforming the way we think about travel technology through electric cars, the Hyperloop, and revolutionary ideas on how we live through artificial intelligence and colonizing Mars.
s16	Summer '03	2019	Becca Gleason	Movie	Summer '03 is the hilarious story of 16-year-old Jamie and her family, who are shocked after her calculating grandmother unveils an array of family secrets on her deathbed, one involving religion, the other of a more personal nature. Jamie is left to navigate her own love life and her closest friendships in the midst of this family crisis, and one of the most memorable summers of her life.
s17	Zoombies	2016	Glenn Miller	Movie	When a strange virus quickly spreads through a safari park and turns all the zoo animals undead, those left in the park must stop the creatures before they escape and zombify the whole city.
s18	Zoo Babies	2008		TV Show	A heart warming and inspiring series that welcomes the arrival of new members of the animal kingdom in Zoo's around the world, as well as showcasing endangered species being born in captivity, 'Zoo Babies' is perfect family viewing packaged with fun, colourful graphics designed to capture the attention of little ones.
s19	Zoë Coombs Marr: Bossy Bottom	2020		TV Show	Zoë Coombs Marr has been on hiatus. Sort of. For six years, she won stacks of awards and acclaim as a hack comic with a neckbeard called Dave. Whatever. She’s scraped off the neckbeard and is BAAAACK… as herself. There is no comedian quite like Zoë. Bossy Bottom is a joyously silly return to very serious stand up from the MICF Most Outstanding Show winner and Edinburgh Best Show nominee.
s20	Zoe	2018	Drake Doremus	Movie	ZOE tells a tale of forbidden love between an engineer and a robot. ZOE (Léa Seydoux) and COLE (Ewan McGregor) are colleagues and veiled lovers at a lab working to perfect romantic relationships. But their relationship is threatened when Zoe discovers the truth about their relationship, sending them into a spiral of confusion, betrayal and the most intense of human emotions, love.
s21	Zoboomafoo	2001		TV Show	Chris and Martin Kratt bring their enthusiasm for animals to the pre-school set.
s22	Zo Zo Zombie: Mini-Series	2020		TV Show	Zo Zo Zombie is our undead hero who, with his best [human] friend Isamu, is just trying to do some good in this world but somehow always ends up in pieces. Literally.
s23	Zis Boom Bah	1941	William Nigh	Movie	"Hey, kids, let's get together and put on a show!" That's the idea behind this raucous spoof about a vaudeville performer who goes to college to spy on her bratty son.
s24	ZeroZeroZero	2020		TV Show	ZeroZeroZero series follows the journey of a cocaine shipment, from the moment a powerful cartel of Italian criminals decides to buy it until the cargo is delivered and paid for, passing through its packaging in Mexico and shipment across the Atlantic Ocean.
s25	Zandalee	1991	Sam Pillsbury	Movie	Zandalee has grown bored with her poet-turned-businessman husband and has an affair with his best friend. When their passions grow wild, it proves to be too hot for any of them to handle.
s26	Zambezi: Force of Life	2005	Dr. Rudolf Lammers	Movie	The Zambezi river is the fourth-longest river in Africa, flowing from the heart of Zambia all the way to the Indian Ocean. Along the way, we discover the breathtaking wildlife that call the river home, including hippos and crocodiles. As we follow the course of this infamous river, even more diverse wildlife is revealed along its shores. With danger at every turn, this is Zambezi!
s27	Zahara: The Return	2020		TV Show	The story explores the history of slavery and racism, and the tensions between a white supernatural world and a supernatural world of colour as an ancient black Druid rekindles her forbidden love with the son of her former master.
s28	Z: The Beginning of Everything	2017		TV Show	"Z: The Beginning of Everything" tells the story of Zelda Sayre Fitzgerald, the brilliant, beautiful Southern Belle who became the original flapper and icon of the wild, flamboyant Jazz Age.
s29	Yu-Gi-Oh! Zexal	2015		TV Show	It's time to feel the flow as Yu-Gi-Oh! Zexal blasts off into awesome new adventures! Seven legendary number cards are hidden throughout the cosmos, each holding a key to unlocking the ultimate power of the universe. Yuma and Astral must find them before the evil Barians do for whoever wields this force can use it to save the galaxy or destroy it!
s30	Yu-Gi-Oh! ARC-V	2018		TV Show	Get set to swing into action as Yu-Gi-Oh! ARC-V takes its final bow!
s31	Yu-Gi-Oh! 5D's	2011		TV Show	With the defeat of Director Goodwin and the Dark Signers, New Domino City's barriers have been torn down. City and Satellite are now one - united in the hope of building a brighter tomorrow. Yet in this time of renaissance and rebuilding, a new enemy emerges, and Yusei and his friends must rev it up in order to save the world – one duel at a time.
